iter	Passed	Remaining
1576	245237	532307
1577	245395	532157
1578	245547	531994
1579	245705	531844
1580	245860	531687
1581	246021	531543
1582	246177	531389
1583	246334	531236
1584	246495	531093
1585	246649	530935
1586	246806	530781
1587	246963	530629
1588	247120	530475
1589	247276	530323
1590	247436	530177
1591	247594	530026
1592	247742	529855
1593	247895	529694
1594	248050	529536
1595	248216	529403
1596	248370	529245
1597	248522	529082
1598	248684	528939
1599	248835	528774
1600	248988	528614
1601	249140	528452
1602	249296	528298
1603	249318	527858
1604	249474	527704
1605	249637	527566
1606	249801	527427
1607	249952	527262
1608	250106	527103
1609	250263	526951
1610	250419	526798
1611	250577	526648
1612	250600	526215
1613	250757	526063
1614	250918	525919
1615	251068	525753
1616	251220	525590
1617	251375	525434
1618	251532	525281
1619	251686	525123
1620	251841	524966
1621	252001	524822
1622	252154	524662
1623	252318	524524
1624	252468	524356
1625	252622	524199
1626	252776	524040
1627	252932	523886
1628	253087	523730
1629	253241	523573
1630	253392	523408
1631	253551	523259
1632	253709	523110
1633	253866	522958
1634	254024	522808
1635	254179	522653
1636	254349	522528
1637	254502	522366
1638	254658	522212
1639	254816	522062
1640	254975	521914
1641	255131	521760
1642	255288	521608
1643	255448	521462
1644	255602	521304
1645	255756	521145
1646	255910	520987
1647	256063	520827
1648	256223	520682
1649	256386	520542
1650	256563	520431
1651	256741	520321
1652	256900	520173
1653	257066	520038
1654	257221	519881
1655	257387	519748
1656	257547	519602
1657	257708	519458
1658	257861	519297
